客户编号,A1,A3,A4,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A20
1624,,X320226,130000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2174 days,,A2
1625,,X220621,420000,99.0,XW0,X1,,,1,T1,1,ZC3,-0.1732604666760052,2499 days,,A2
1626,,X300106,130000,30.0,XW0,X1,,,2017,T0,3,ZC9,-0.1732604666760052,2070 days,,A2
1627,,X121224,510000,99.0,XW0,X1,,,1,T1,6,ZC3,-0.1732604666760052,1972 days,,A2
1628,,X222325,520000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,2940 days,,A2
1629,,X402103,640000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2983 days,,A2
1630,,X320926,130000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2081 days,,A2
1631,,X322622,530000,70.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2602 days,,A2
1632,,X321124,430000,99.0,XW9,,,,1,T0,3,,-0.1732604666760052,2927 days,,A2
1633,,X123022,510000,99.0,XW0,X1,,,1,T1,4,ZC0,-0.1732604666760052,1926 days,,A2
1634,,X321021,430000,99.0,XW9,X1,,,1,T1,1,ZC9,-0.1732604666760052,2000 days,,A2
1635,,X421321,440000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2977 days,,A2
1636,,X500202,450000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2725 days,,A2
1637,,X480681,440000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2983 days,,A2
1638,,X222429,620000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2897 days,,A2
1639,,X220225,120000,99.0,XW9,,,,1,T0,3,ZC9,5.648088273120433,3109 days,,A2
1640,,X220922,420000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2182 days,,A2
1641,,X020222,500000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,3023 days,,A2
1642,,X120728,610000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3297 days,,A2
1643,,X103701,510000,99.0,XW0,X1,,,1,T2,1,ZC0,-0.1732604666760052,2232 days,,A2
1644,,X221127,420000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2130 days,,A2
1645,,X220323,320000,30.0,XW9,,,B,2020,T2,6,ZC9,-0.1732604666760052,2878 days,,A2
1646,,X080381,500000,99.0,XW0,X1,,,1,T1,3,ZC9,-0.1732604666760052,2129 days,,A2
1647,,X320425,130000,99.0,XW9,X1,,,1,T0,5,,-0.1732604666760052,2033 days,,A2
1648,,X100802,510000,99.0,XW9,X1,,,1,T0,0,ZC9,-0.1732604666760052,2109 days,,A2
1649,,X422225,140000,30.0,XW0,X1,,,2017,T0,N,ZC9,-0.1732604666760052,2093 days,,A2
1650,,X222729,520000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2854 days,,A2
1651,,X321022,430000,99.0,XW0,,,,1,T2,6,ZC9,-0.1732604666760052,2652 days,,A2
1652,,X322524,430000,30.0,XW0,,,,1,T2,3,ZC9,-0.1732604666760052,2922 days,,A2
1653,,X421522,440000,30.0,,,,,1,T0,N,,-0.1732604666760052,3809 days,,A2
1654,,X110112,510000,99.0,XW9,X1,,,1,T1,6,ZC0,-0.1732604666760052,2097 days,,A2
1655,,X123126,510000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2041 days,,A2
1656,,X220621,220000,99.0,XW9,,,,1,T0,4,ZC2,-0.1732604666760052,2979 days,F5176,A2
1657,,X320521,430000,99.0,XW9,X1,,,1,T1,6,ZC9,-0.1732604666760052,1983 days,,A2
1658,,X400203,340000,30.0,XW0,,,B,2019,T0,N,,-0.1732604666760052,2939 days,,A2
1659,,X100105,510000,30.0,XW0,X1,,,2014,T1,1,ZC4,-0.1732604666760052,1990 days,,A2
1660,,X780781,370000,30.0,XW0,,,J,2018,T0,5,,-0.1732604666760052,3001 days,,A2
1661,,X201302,420000,30.0,XW0,X1,,,2016,T1,3,,-0.1732604666760052,2110 days,,A2
1662,,X320621,130000,30.0,XW0,X1,,,2014,T2,5,ZC9,-0.1732604666760052,1973 days,,A2
1663,,X420821,440000,20.0,XW4,,,B,1993,T0,0,ZC4,-0.1732604666760052,2927 days,,A2
1664,,X200305,320000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2963 days,,A2
1665,,X222227,520000,99.0,XW9,,,,1,T0,3,ZC2,-0.1732604666760052,2973 days,,A2
1666,,X120322,510000,99.0,XW0,X1,,,1,T2,3,ZC9,-0.1732604666760052,2162 days,,A2
1667,,X020223,500000,99.0,XW0,X1,,,1,T2,5,ZC4,-0.1732604666760052,2342 days,,A2
1668,A9,X322923,530000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3396 days,,A2
1669,,X300406,130000,99.0,XW9,X1,,,1,T2,4,ZC9,-0.1732604666760052,1976 days,,A2
1670,,X101002,510000,99.0,XW9,X1,,,1,T1,6,ZC9,-0.1732604666760052,2511 days,,A2
1671,,X421227,340000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,3019 days,,A2
1672,,X111112,510000,99.0,XW0,X1,,,1,T1,4,ZC9,-0.1732604666760052,2239 days,,A2
1673,A9,X221022,420000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3571 days,,A2
1674,,X320429,130000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,3029 days,,A2
1675,,X120423,410000,99.0,XW9,,,,1,T0,1,ZC9,-0.1732604666760052,3060 days,,A2
1676,,X200105,320000,30.0,XW0,,,B,2019,T0,3,ZC9,-0.1732604666760052,2891 days,,A2
1677,,X020223,500000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,2041 days,,A2
1678,,X721328,370000,99.0,XW0,X1,,,1,T1,5,ZC9,-0.1732604666760052,2565 days,,A2
1679,,X300704,230000,30.0,XW0,X1,,,2008,T1,5,,-0.1732604666760052,1985 days,,A2
1680,A9,X222426,220000,99.0,XW9,,,,1,T0,N,ZC3,-0.1732604666760052,3397 days,,A2
1681,,X300903,430000,30.0,XW0,X1,,B,2017,T1,1,ZC9,5.809806497872927,2508 days,,A2
1682,,X421625,440000,20.0,XW4,X1,,B,2019,T1,3,ZC0,-0.1732604666760052,2777 days,,A2
1683,,X200802,420000,99.0,XW0,,,,1,T1,3,ZC4,-0.1732604666760052,2728 days,,A2
1684,,X485281,440000,30.0,XW0,,,B,2020,T0,N,,-0.1732604666760052,3351 days,,A2
1685,,X420622,140000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2967 days,,A2
1686,,X222822,620000,30.0,XW0,X1,,,2013,T0,0,ZC9,-0.1732604666760052,2088 days,,A2
1687,,X000109,500000,30.0,XW0,X1,,,2016,T0,4,ZC9,-0.1732604666760052,2159 days,,A2
1688,,X520421,150000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3350 days,,A2
1689,,X180182,510000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2029 days,,A2
1690,,X120422,510000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2108 days,,A2
1691,,X120823,510000,99.0,XW0,X1,,,1,T0,5,ZC9,-0.1732604666760052,2142 days,,A2
1692,,X522723,450000,99.0,XW9,,,,1,T0,1,ZC9,-0.1732604666760052,3010 days,,A2
1693,A9,X380781,330000,30.0,XW0,,,B,1,T0,N,,-0.1732604666760052,3600 days,,A2
1694,,X300204,230000,99.0,XW9,,,,1,T0,6,ZC0,-0.1732604666760052,3164 days,,A2
1695,,X330435,130000,99.0,XW0,X1,,,1,T0,6,ZC3,-0.1732604666760052,2094 days,,A2
1696,A9,X220724,320000,99.0,XW9,,,,1,T0,N,ZC3,-0.1732604666760052,3571 days,,A2
1697,A9,X110211,210000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3588 days,,A2
1698,,X123128,510000,99.0,XW0,X1,,,1,T1,5,ZC4,-0.1732604666760052,2141 days,,A2
1699,,X120521,510000,99.0,XW9,X1,,,1,T0,6,ZC0,-0.1732604666760052,2137 days,,A2
1700,,X121321,510000,30.0,XW0,X1,,,2011,T1,0,ZC9,-0.1732604666760052,2130 days,,A2
1701,,X100602,510000,99.0,XW0,X1,,,1,T0,3,ZC9,-0.1732604666760052,2693 days,,A2
1702,,X220322,320000,99.0,XW9,X1,,,1,T0,M,ZC0,-0.1732604666760052,2286 days,,A2
1703,,X520622,350000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3350 days,,A2
1704,,X721522,370000,99.0,XW0,X1,,,1,T1,4,ZC0,-0.1732604666760052,2267 days,,A2
1705,A9,X220324,320000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3579 days,,A2
1706,,X722525,370000,99.0,XW9,X1,,,1,T0,1,ZC0,-0.1732604666760052,1982 days,,A2
1707,,X580881,450000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2923 days,,A2
1708,,X522323,150000,99.0,XW9,,,,1,T2,6,ZC9,-0.1732604666760052,2700 days,,A2
1709,,X680781,360000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2924 days,,A2
1710,,X123023,510000,99.0,XW0,X1,,,1,T2,1,ZC9,-0.1732604666760052,2015 days,,A2
1711,,X122825,410000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2972 days,,A2
1712,,X103701,510000,99.0,XW9,X1,,,1,T1,3,ZC9,-0.1732604666760052,2001 days,,A2
1713,,X322322,530000,99.0,XW0,X1,,,1,T1,5,ZC3,-0.1732604666760052,2777 days,,A2
1714,,X422724,140000,99.0,XW9,,,,1,T0,6,ZC3,-0.1732604666760052,2984 days,,A2
1715,,X422224,340000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3230 days,,A2
1716,,X000107,500000,99.0,XW4,X1,,,1,T2,N,ZC2,-0.1732604666760052,2245 days,,A2
1717,,X732330,370000,99.0,XW0,,,,1,T2,5,ZC9,5.689310565704403,2684 days,,A2
1718,,X280683,420000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3208 days,,A2
1719,,X120322,510000,99.0,XW0,X1,,,1,T2,0,ZC9,-0.1732604666760052,1921 days,,A2
1720,,X100602,510000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,1927 days,,A2
1721,,X000102,500000,99.0,XW9,X1,,,1,T1,1,,-0.1732604666760052,1940 days,,A2
1722,,X532131,450000,99.0,XW9,,,,1,T2,6,ZC9,-0.1732604666760052,2608 days,,A2
1723,,X320421,130000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2141 days,,A2
1724,,X301102,130000,99.0,XW0,X1,,,1,T2,6,ZC3,-0.1732604666760052,2265 days,,A2
1725,,X122927,510000,99.0,XW9,,,,1,T0,5,,-0.1732604666760052,2927 days,,A2
1726,,X121521,510000,30.0,XW0,X1,,,2013,T1,5,ZC9,-0.1732604666760052,1980 days,,A2
1727,,X302301,530000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2971 days,,A2
1728,,X133435,510000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2213 days,,A2
1729,,X500202,150000,20.0,XW4,,,B,2007,T2,6,ZC0,-0.1732604666760052,2692 days,,A2
1730,,X320322,130000,99.0,XW0,,,,1,T1,6,ZC3,-0.1732604666760052,1958 days,,A2
1731,,X220121,620000,20.0,XW0,,,B,2010,T2,3,,-0.1732604666760052,2683 days,,A2
1732,,X622322,360000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2550 days,,A2
1733,A9,X425221,440000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3562 days,,A2
1734,,X420921,440000,99.0,XW9,,,,1,T0,1,,-0.1732604666760052,2855 days,,A2
1735,,X400702,140000,99.0,XW0,X1,,,1,T1,6,ZC4,-0.1732604666760052,1996 days,,A2
1736,A9,X030234,500000,99.0,XW9,,,,1,T0,N,ZC3,-0.1732604666760052,3575 days,,A2
1737,,X133030,510000,30.0,XW0,X1,,,2017,T1,5,ZC3,-0.1732604666760052,2194 days,,A2
1738,,X010112,500000,99.0,XW4,X1,,,1,T1,4,ZC3,-0.1732604666760052,1940 days,,A2
1739,,X121729,410000,30.0,,,,B,1,T1,6,,-0.1732604666760052,2658 days,,A0
1740,,X380681,130000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3159 days,,A2
1741,A9,X222325,520000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3356 days,,A2
1742,,X121328,410000,99.0,XW0,X1,,,1,T0,6,ZC9,-0.1732604666760052,2506 days,,A2
1743,,X020226,500000,99.0,XW9,X1,,,1,T1,1,ZC9,-0.1732604666760052,2136 days,,A2
1744,,X221324,320000,60.0,XW0,,,,1,T0,6,,-0.1732604666760052,2867 days,,A2
1745,,X220525,620000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3161 days,,A2
1746,,X030234,500000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2135 days,,A2
1747,,X121621,510000,99.0,XW9,,,,1,T0,3,ZC3,-0.1732604666760052,2038 days,,A2
1748,,X502301,150000,99.0,XW0,X1,,,1,T2,0,,-0.1732604666760052,2512 days,,A2
1749,,X520824,350000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2928 days,,A2
1750,,X720523,370000,99.0,XW9,,,,1,T0,1,ZC9,-0.1732604666760052,2973 days,,A2
1751,,X080382,500000,99.0,XW0,X1,,,1,T1,N,ZC3,-0.1732604666760052,2302 days,,A2
1752,,X121421,410000,99.0,XW0,X1,,,1,T1,6,ZC9,-0.1732604666760052,2138 days,,A2
1753,,X320123,130000,99.0,XW0,X1,,,1,T2,5,ZC4,-0.1732604666760052,2033 days,,A2
1754,,X222426,620000,99.0,XW0,X1,,,1,T1,3,ZC4,-0.1732604666760052,2512 days,,A2
1755,,X332335,130000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,1963 days,,A2
1756,,X110112,510000,30.0,XW0,X4,,B,2017,T1,5,ZC9,-0.1732604666760052,2504 days,,A2
1757,,X320322,130000,99.0,XW9,X1,,,1,T0,5,ZC0,-0.1732604666760052,2285 days,,A2
1758,,X420821,340000,99.0,XW9,X1,,,1,T2,3,ZC9,-0.1732604666760052,2504 days,,A2
1759,,X220124,420000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2137 days,,A2
1760,,X121222,410000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3297 days,,A2
1761,,X432332,140000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,2989 days,,A2
1762,,X000101,500000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2274 days,,A2
1763,,X380283,130000,99.0,XW0,X1,,,1,T1,5,,-0.1732604666760052,2160 days,,A2
1764,,X123426,510000,30.0,XW0,X1,,B,2020,T0,N,,-0.1732604666760052,3236 days,,A2
1765,,X300203,130000,99.0,XW0,X1,,,1,T1,3,ZC9,-0.1732604666760052,1981 days,,A2
1766,A9,X420520,440000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3575 days,,A2
1767,,X120122,510000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2105 days,,A2
1768,,X622329,360000,20.0,XW4,X1,,B,2012,T2,3,ZC9,-0.1732604666760052,2504 days,,A2
1769,,X410111,640000,30.0,XW0,,,B,2019,T0,3,ZC9,-0.1732604666760052,3049 days,,A2
1770,,X120525,510000,99.0,XW0,X1,,,1,T2,1,ZC9,-0.1732604666760052,2636 days,,A2
1771,,X380982,130000,99.0,XW0,X1,,,1,T2,6,ZC0,-0.1732604666760052,2121 days,,A2
1772,,X123123,510000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2767 days,,A2
1773,,X302602,330000,99.0,XW0,,,,1,T2,4,ZC9,-0.1732604666760052,2726 days,,A2
1774,,X420322,140000,99.0,XW9,X1,,,1,T0,4,ZC9,-0.1732604666760052,2113 days,,A2
1775,,X101302,510000,30.0,XW0,X1,,B,2015,T0,3,,-0.1732604666760052,2976 days,,A2
1776,,X120121,510000,99.0,XW9,X1,,,1,T1,3,ZC9,-0.1732604666760052,2729 days,,A2
1777,,X020225,500000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2028 days,,A2
1778,,X123426,510000,30.0,XW0,X1,,,2009,T0,3,ZC9,-0.1732604666760052,2168 days,,A2
1779,,X123122,510000,60.0,XW1,X1,,,1,T2,3,ZC2,5.926877808811399,1944 days,,A2
1780,A9,X480982,440000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3573 days,,A2
1781,,X030239,500000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2079 days,,A2
1782,,X522322,150000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2958 days,,A2
1783,,X380981,130000,99.0,XW0,X1,,,1,T2,1,ZC3,-0.1732604666760052,2165 days,,A2
1784,,X380381,430000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2993 days,,A2
1785,,X020221,500000,20.0,XW4,,,B,2020,T0,N,,-0.1732604666760052,3293 days,,A2
1786,,X180181,410000,20.0,XW4,,,B,2019,T0,5,ZC9,-0.1732604666760052,2956 days,,A2
1787,,X320223,130000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,3044 days,,A2
1788,,X101102,510000,99.0,XW9,,,,1,T0,3,ZC9,-0.1732604666760052,3039 days,,A2
1789,,X422425,340000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,3043 days,,A2
1790,,X322325,230000,99.0,XW9,X1,,,1,T2,3,ZC9,-0.1732604666760052,2498 days,,A2
1791,,X500404,150000,99.0,XW9,,,,1,T0,4,ZC9,-0.1732604666760052,2689 days,,A2
1792,,X321124,130000,99.0,XW9,X1,,,1,T0,3,,-0.1732604666760052,2060 days,,A2
1793,,X502901,650000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3122 days,,A2
1794,,X323123,530000,30.0,XW0,,,B,2016,T0,6,ZC0,-0.1732604666760052,2930 days,,A2
1795,,X202801,420000,99.0,XW0,X1,,,1,T1,N,ZC3,-0.1732604666760052,2512 days,,A2
1796,,X220124,320000,99.0,XW9,,,,1,T0,3,,-0.1732604666760052,2988 days,,A2
1797,,X780781,370000,99.0,XW9,,,,1,T2,N,ZC9,-0.1732604666760052,2688 days,,A2
1798,,X120528,610000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2957 days,,A2
1799,,X122524,610000,99.0,XW9,X1,,,1,T0,4,,-0.1732604666760052,2082 days,,A2
1800,,X320128,130000,99.0,XW9,,,,1,T0,5,ZC9,-0.1732604666760052,2825 days,,A2
1801,,X321022,430000,30.0,XW0,,,B,1,T0,1,ZC0,-0.1732604666760052,3030 days,,A2
1802,,X123022,510000,99.0,XW9,X1,,,1,T0,6,,-0.1732604666760052,2927 days,,A2
1803,,X133433,510000,60.0,XW0,X1,,,1,T0,6,ZC3,-0.1732604666760052,2919 days,,A2
1804,,X121025,510000,99.0,XW0,X1,,,1,T2,6,ZC9,-0.1732604666760052,2221 days,,A2
1805,,X100105,410000,99.0,XW4,,,,1,T2,4,ZC4,-0.1732604666760052,2686 days,,A2
1806,A9,X522925,650000,30.0,XW0,,,B,1,T0,N,,-0.1732604666760052,3597 days,,A2
1807,,X522327,450000,30.0,XW0,X1,,B,2005,T2,3,ZC9,-0.1732604666760052,2530 days,,A2
1808,,X330531,130000,30.0,XW0,,,B,2019,T0,6,ZC9,-0.1732604666760052,2952 days,,A2
1809,,X321024,130000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,1982 days,,A2
1810,,X330634,130000,99.0,XW9,X1,,,1,T2,5,ZC9,-0.1732604666760052,1996 days,,A2
1811,,X320726,130000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2018 days,,A2
1812,,X130130,510000,99.0,XW9,X1,,,1,T0,1,,-0.1732604666760052,2918 days,,A2
1813,,X181481,410000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3151 days,,A2
1814,,X030234,500000,99.0,XW9,X1,,,1,T2,N,ZC3,-0.1732604666760052,1966 days,,A2
1815,,X522226,450000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2905 days,,A2
1816,,X380181,130000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3215 days,,A2
1817,,X210111,420000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2310 days,,A2
1818,,X222422,520000,99.0,XW9,,,,1,T0,N,ZC3,-0.1732604666760052,3160 days,,A2
1819,,X103902,510000,99.0,XW9,X1,,,1,T0,5,ZC2,-0.1732604666760052,2151 days,,A2
1820,,X622123,360000,70.0,XW0,,,,1,T2,1,ZC9,-0.1732604666760052,2169 days,,A2
1821,,X123822,510000,30.0,XW0,X1,,,2009,T2,5,ZC4,-0.1732604666760052,2115 days,,A2
1822,,X302502,530000,30.0,,,,,1,T1,4,,-0.1732604666760052,3662 days,,A2
1823,,X121325,510000,30.0,XW0,X1,,,2014,T0,3,ZC9,-0.1732604666760052,2141 days,,A2
1824,,X432233,140000,99.0,XW9,,,,1,T0,3,,-0.1732604666760052,2213 days,,A2
1825,,X380181,430000,99.0,XW9,,,,1,T0,4,,-0.1732604666760052,2664 days,,A0
1826,,X420825,440000,30.0,XW0,,,B,2012,T0,1,ZC0,-0.1732604666760052,2971 days,,A2
1827,,X520624,350000,99.0,XW9,,,,1,T0,6,ZC0,-0.1732604666760052,2811 days,,A2
1828,,X121025,510000,99.0,XW9,X1,,,1,T0,1,ZC9,-0.1732604666760052,2188 days,,A2
1829,,X123027,510000,99.0,XW9,X1,,,1,T0,0,ZC9,-0.1732604666760052,3008 days,,A2
1830,,X330132,130000,99.0,XW4,X1,,,1,T2,3,ZC9,-0.1732604666760052,2124 days,,A2
1831,,X522729,450000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,3047 days,,A2
1832,,X121122,210000,30.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3342 days,,A2
1833,,X020222,500000,99.0,XW9,X1,,,1,T1,3,ZC9,-0.1732604666760052,2134 days,,A2
1834,,X680781,360000,99.0,XW9,X1,,,1,T0,5,ZC0,-0.1732604666760052,1979 days,,A2
1835,,X420521,440000,99.0,XW9,,,,1,T0,6,,-0.1732604666760052,2955 days,,A2
1836,,X320726,130000,30.0,XW0,X1,,,2016,T0,6,ZC0,-0.1732604666760052,1991 days,,A2
1837,,X421222,340000,99.0,XW9,X1,,,1,T1,6,ZC9,-0.1732604666760052,2763 days,,A2
1838,,X422623,340000,99.0,XW0,X1,,,1,T2,4,ZC4,-0.1732604666760052,2160 days,,A2
1839,,X332932,530000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2936 days,,A2
1840,,X380682,130000,20.0,XW4,X1,,,2016,T0,3,ZC9,-0.1732604666760052,2140 days,,A2
1841,A9,X320624,530000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3356 days,,A2
1842,,X480183,440000,99.0,XW9,X1,,,1,T1,5,ZC9,-0.1732604666760052,2100 days,,A2
1843,,X000103,500000,30.0,XW0,X1,,,2014,T0,4,ZC9,-0.1732604666760052,1950 days,,A2
1844,,X030237,500000,99.0,XW0,,,,1,T2,6,ZC4,-0.1732604666760052,2708 days,,A2
1845,,X380981,130000,99.0,XW0,X1,,,1,T2,N,ZC3,-0.1732604666760052,2091 days,,A2
1846,A9,X421324,440000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3570 days,,A2
1847,A9,X485281,440000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3365 days,,A2
1848,,X120923,410000,99.0,XW9,X1,,,1,T0,3,ZC3,-0.1732604666760052,1966 days,,A2
1849,,X222324,520000,99.0,XW0,X1,,,1,T1,5,,-0.1732604666760052,2262 days,,A2
1850,,X131131,510000,99.0,XW0,X1,,,1,T2,3,ZC1,-0.1732604666760052,1923 days,,A2
1851,A9,X632331,360000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3604 days,,A2
1852,,X000102,500000,99.0,XW0,,,,1,T1,6,ZC9,-0.1732604666760052,2655 days,,A2
1853,,X121028,510000,99.0,XW9,X1,,,1,T0,3,ZC0,-0.1732604666760052,2141 days,,A2
1854,,X131132,510000,99.0,XW0,X1,,,1,T1,3,ZC3,-0.1732604666760052,2102 days,,A2
1855,,X701202,370000,30.0,XW0,,,B,2019,T0,3,ZC9,-0.1732604666760052,2930 days,,A2
1856,A9,X120526,410000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3611 days,,A2
1857,,X122722,410000,99.0,XW0,,,,1,T1,6,ZC9,-0.1732604666760052,2645 days,,A2
1858,,X123624,510000,99.0,XW0,X1,,,1,T2,5,ZC9,-0.1732604666760052,2565 days,,A2
1859,,X420823,440000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3177 days,,A2
1860,,X380682,130000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2107 days,,A2
1861,,X120521,510000,99.0,XW0,X1,,,1,T2,6,ZC4,-0.1732604666760052,2246 days,,A2
1862,A9,X222924,620000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3379 days,,A2
1863,,X420624,140000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2305 days,,A2
1864,,X400802,440000,99.0,XW9,,,,1,T0,3,,-0.1732604666760052,3004 days,,A2
1865,,X502402,450000,99.0,XW9,,,,1,T0,N,,-0.1732604666760052,3317 days,,A2
1866,,X380682,130000,99.0,XW9,X1,,,1,T1,3,ZC9,-0.1732604666760052,1984 days,,A2
1867,,X120321,510000,99.0,XW0,X1,,,1,T2,5,ZC0,-0.1732604666760052,1980 days,,A2
1868,A9,X222422,520000,99.0,XW9,,,,1,T0,N,ZC0,-0.1732604666760052,3358 days,,A2
1869,,X209004,420000,99.0,XW9,X1,,,1,T1,5,ZC9,-0.1732604666760052,1998 days,,A2
1870,,X710212,370000,99.0,XW9,X1,,,1,T0,6,ZC9,-0.1732604666760052,2139 days,,A2
1871,,X520627,350000,30.0,XW0,,,B,2019,T0,N,,-0.1732604666760052,2993 days,,A2
1872,,X281083,420000,99.0,XW9,X1,,,1,T0,3,ZC9,-0.1732604666760052,2066 days,,A2
1873,,X220723,320000,99.0,XW9,,,,1,T0,6,ZC9,-0.1732604666760052,2973 days,,A2
1874,,X120122,210000,60.0,XW0,,,B,2019,T0,N,,-0.1732604666760052,2922 days,,A2
1875,,X120922,510000,30.0,XW9,X1,,,2010,T0,N,ZC9,-0.1732604666760052,2026 days,,A2
1876,,X520521,450000,99.0,XW9,X1,,,1,T2,5,ZC9,-0.1732604666760052,2503 days,,A2
1877,,X121025,510000,99.0,XW9,X1,,,1,T0,5,ZC9,-0.1732604666760052,2322 days,,A2
1878,,X121023,510000,30.0,XW0,X1,,,1,T2,3,ZC3,5.9150818912412175,1916 days,,A2
1879,,X480881,440000,99.0,XW9,,,,1,T0,N,ZC9,-0.1732604666760052,3340 days,,A2
1880,,X401602,340000,70.0,XW0,,,,1,T2,5,ZC0,5.760086071125494,2448 days,,A2
1881,,X010112,500000,99.0,XW0,X1,,,1,T0,1,ZC3,-0.1732604666760052,2101 days,,A2
1882,A1,X120521,510000,30.0,XW0,X1,,B,2015,T2,3,ZC3,5.932331835214818,2325 days,,A2
1883,,X580583,350000,99.0,XW9,,,,1,T2,6,ZC4,-0.1732604666760052,2648 days,,A2
